,dataset_name,date,latest_job_id
0,CX_102_2_hL_RSPd_FOV3_monitor_right,2023-07-19 15:45:23.505885,1.0
0,CX_79_2_hL_RSPd_monitor_right,2023-07-24 12:35:04.224935,4.0
0,CX_142_2_hL_RSPd_monitor_front,2023-07-24 12:35:11.727174,5.0
0,CX_142_2_hL_RSPd_monitor_front,2023-07-24 12:58:47.398307,5.0
0,BY_317_2_hR_RSPd_monitor_front,2023-07-24 12:58:55.104523,6.0
0,CX_122_1_hL_RL_A_monitor_right,2023-07-24 12:58:56.125954,8.0
5,9,,
0,CX_142_2_hR_RSPd_monitor_front,2023-07-24 12:59:45.468999,13.0
0,CX_138_2_hL_PM_monitor_right,2023-07-24 12:59:46.466673,12.0
0,CX_138_2_hL_RL_A_monitor_front_low,2023-07-24 12:59:46.879120,11.0
0,BY_324_3_hR_RSPd_FOV2_monitor_front,2023-07-24 13:04:18.465032,15.0
0,CX_102_2_hL_RSPd_FOV1_monitor_right,2023-07-24 13:04:21.973125,16.0
0,CX_142_3_hL_RSPd_monitor_front,2023-07-24 13:04:25.709573,17.0
0,BY_317_2_hL_RSPd_monitor_front_high,2023-07-24 13:04:38.142291,18.0
0,CX_79_3_hL_V1_monitor_right,2023-07-24 13:07:35.566344,19.0
0,CX_122_1_hL_PM_monitor_right,2023-07-24 13:09:17.395136,20.0
0,BY_1111939_hR_RSPg_monitor_front,2023-07-24 13:37:52.332818,22.0
0,CX_1111782_hL_RSPg_monitor_front,2023-07-24 13:37:52.756586,24.0
0,BY_1111940_hL_RSPg_monitor_front,2023-07-24 13:38:01.235831,21.0
0,CX_1111780_hR_RSPg_monitor_front,2023-07-24 13:38:13.720156,25.0
0,CX_1111780_hL_RSPg_monitor_front,2023-07-24 13:41:10.328258,26.0
0,CX_1111922_hL_V1_monitor_right_low,2023-07-24 13:42:14.962532,27.0
0,AS_1111877_hL_V1_monitor_right_low,2023-07-24 13:44:39.742322,28.0
0,AK_1111739_hL_RSPd_monitor_front,2023-07-24 13:55:09.740442,29.0
0,CX_1112536_hL_RSPg_monitor_front,2023-07-24 13:57:37.730978,30.0
0,CX_1112536_hR_RSPg_monitor_front,2023-07-24 14:01:11.918641,31.0
0,CX_1112637_hL_RSPg_monitor_front,2023-07-24 14:15:58.999356,32.0
0,CX_1112637_hR_RSPg_monitor_front,2023-07-24 14:20:11.957215,33.0
0,BY_IAA_1117275_hL_RSPg_monitor_front,2023-07-24 14:39:06.367236,34.0
0,BY_IAA_1117275_hR_RSPg_monitor_front,2023-07-24 14:44:47.314576,35.0
0,BY_IAA_1117276_hR_RSPg_monitor_front,2023-07-24 15:00:10.673802,36.0
0,BY_IAA_1117277_hR_RSPg_monitor_front,2023-07-24 15:01:48.672167,37.0
0,BY_IAA_1117277_hL_RSPg_monitor_front,2023-07-24 15:05:12.364685,38.0
0,CX_1112647_hL_RSPd_monitor_front,2023-07-24 15:08:23.948283,39.0
0,CX_1112647_hR_RSPd_monitor_front,2023-07-24 15:08:57.744953,40.0
0,CX_1112654_hL_RSPd_monitor_front,2023-07-24 15:13:14.312631,41.0
0,CX_1112837_hL_RSPd_monitor_front,2023-07-24 15:18:16.828255,42.0
0,CX_1112647_hL_RSPd_monitor_front_post-lesion,2023-07-24 15:30:07.652194,43.0
0,CX_1112654_hL_RSPd_monitor_front_post-lesion,2023-07-24 15:38:19.034427,45.0
0,CX_1112647_hR_RSPd_monitor_front_post-lesion,2023-07-24 15:38:20.104714,44.0
0,CX_1112837_hL_RSPd_monitor_front_post-lesion,2023-07-24 15:41:20.794326,46.0
0,AS_1112809_hL_V1_monitor_front-right_low,2023-07-24 15:42:20.759895,47.0
0,BY_293_4_hL_RSPd_monitor_front,2023-07-24 15:48:41.191165,48.0
0,BY_293_5_hL_RSPd_monitor_front,2023-07-24 15:49:24.981101,49.0
